野菜の名前,性格や人間性,向いている職業1,向いている職業2,向いている職業3,A (外向),H (頑固),S (刺激), 詳細ID, 育て方のコツ, おすすめ商品キーワード
トマト,太陽のような明るさと情熱を持ち、周囲をパッと明るくするムードメーカーです。見た目の鮮やかさ通り自己主張もしっかりしていますが、実は中身が柔らかく、強い圧力をかけられるとすぐに潰れてしまう繊細な一面も。瑞々しい感性の持ち主で、新しい環境にもすぐ馴染みますが、冷遇されると一気に元気がなくなる「温室育ち」な純粋さを持っています。真っ赤に燃える正義感と、少しの酸味がアクセントの愛されキャラです。,イベントプランナー,幼稚園教諭,クリエイティブディレクター,9,6.5,8.8,tomato,日当たりと水はけの良い場所を好みます。わき芽をこまめに摘み取って一本立ちに仕立てるのが実を大きくするコツ。乾燥気味に育てると甘みが凝縮されます。,デルモンテ トマト 苗 栽培セット
なす,しなやかで柔軟な対応力を持つ世渡り上手です。どんな味（環境）にも染まることができますが、芯の部分には独特のこだわりを秘めています。直射日光を浴びるほど光り輝くタイプで、人前に出ることで魅力が増します。一見クールに見えますが、中身はとても熱を溜め込みやすく、一度火がつくと情熱が冷めにくい「あつあつ」な一面を持っています。,広報担当,秘書,俳優,3.1,2.5,9.1,eggplant,「秋なすは嫁に食わすな」と言われるほど収穫期が長い野菜。肥料食いなので定期的な追肥と、真夏の乾燥を防ぐための敷きわらが成功の秘訣です。,液体肥料 野菜用 プロが使う
きゅうり,非常にクールで合理的、常に冷静沈着な判断を下せる人です。90%以上が水分であるように、感情に流されず、サラッとした人間関係を好みます。成長スピードが非常に早く、チャンスを掴むと一気に駆け上がる出世魚ならぬ「出世野菜」タイプ。ただし、放っておくとトゲが出てしまうので、適度なメンテナンス（休息）が必要です。,システムエンジニア,財務コンサルタント,スポーツ審判,5.9,4.1,6.1,cucumber,成長が非常に早く、毎日の収穫が楽しみな野菜。ネットをしっかり張り、親づるを摘心して子づる・孫づるを増やすと収穫量が劇的にアップします。,きゅうり 園芸ネット 支柱セット
ピーマン,少し苦味のあるスパイスの効いた性格で、ストレートに物事を言う正直者です。中身は空洞（オープン）で隠し事が苦手。一見すると気難しそうですが、一度打ち解けると誰とでも仲良くなれる不思議な愛嬌があります。熱を加えられてもビタミンが壊れないように、どんな逆境に立たされても自分の信念を曲げないタフな精神の持ち主です。,ジャーナリスト,警察官,ベンチャー企業経営者,2,8.9,2.1,pimento,暑さに強く、病害虫も比較的少ないので初心者向き。一番花が咲いたら、その下のわき芽を2本残して「3本仕立て」にすると枝が安定し、長く収穫できます。,ピーマン 苗 育てやすい品種
ゴーヤ,唯一無二の存在感を放つ個性派。周囲に合わせるよりも、自分の個性を突き通すことで輝きます。最初は「近寄りがたい」と思われがちですが、その独特の苦味（深み）が癖になる熱狂的なファンを多く持ちます。健康意識が高く、ストイックに自分を追い込む修行僧のような気質があり、困難な道ほど燃えるタイプです。,芸術家,伝統工芸職人,格闘家,5.2,8.6,7.8,goya,つるが非常に伸びるため、グリーンカーテンとしての栽培に最適。最初の親づるを摘心し、子づるを横に広げることで、実がつく雌花をたくさん増やすことができます。,ゴーヤ 栽培ネット 大型
オクラ,粘り強さは誰にも負けません。一度決めたことは最後までやり遂げる不屈の精神の持ち主です。断面が星型であるように、キラリと光るセンスを隠し持っています。普段は控えめですが、追い詰められる（刻まれる）ほど本来の能力を発揮し、周囲をまとめる接着剤のような役割を果たします。派手さはありませんが、組織に一人は欲しい逸材です。,弁護士,研究者,経理事務,3.8,1,7.9,okra,アオイ科の美しい花も楽しめます。直根性で植え替えに弱いため、ポットから抜く際は根を崩さないのが鉄則。収穫が遅れると実が硬くなるので、早めの収穫が肝心です。,オクラ 種 育てやすい
ズッキーニ,スマートでスタイリッシュ、常に流行の最先端を行く都会派。かぼちゃの仲間でありながら、それを感じさせない身軽さと洗練された雰囲気を持っています。適応能力が非常に高く、和洋中どんなシーンでも自分を最適化できるハイブリッドな才能の持ち主。人付き合いも卒なくこなしますが、実はプライドが高く傷つきやすい繊細な面も。,建築家,ファッションエディター,UXデザイナー,1.1,4.9,8.2,zucchini,かぼちゃの仲間ですが、つるが伸びず場所をとりません。大きな葉が広がるので株間は広めに。朝のうちに雄花の花粉を雌花につける「人工授粉」を行うと着果が安定します。,ズッキーニ 苗 3本セット
とうもろこし,多くの仲間に囲まれることで力を発揮する、チームプレイヤーの鑑です。一本筋の通った性格で、自分のルーツや繋がりを大切にします。粒が揃っているように、規律を重んじる几帳面な一面も。皮を被って本音を隠すこともありますが、一度心を開くと（加熱されると）弾けるような明るさと甘い優しさを見せてくれます。,プロジェクトマネージャー,教職員,旅行添乗員,5.7,3.4,4.2,corn,1株に1本を基本とし、下の実は早めに「ヤングコーン」として収穫するとメインの実が甘くなります。受粉を確実にするため、横一列ではなく四角いブロック状に植えるのがコツ。,とうもろこし 肥料 追肥用
枝豆,フットワークが軽く、どんな場所にも「とりあえず」で呼ばれる人気者です。常に二人、三人の親友と行動することを好み、一人でいるのは少し苦手な寂しがり屋。外見は産毛（繊細なアンテナ）に覆われており、周囲の空気を読む能力に長けています。若々しさを失わず、いつまでも少年の心を持ち続けているピュアな性格です。,営業職,居酒屋オーナー,保育士,9.7,5,9.5,edamame,根に共生する菌が窒素を作るため、肥料のやりすぎは逆効果（つるボケ）。カメムシなどの害虫を防ぐため、防虫ネットでトンネル栽培するのが最も確実な収穫への近道です。,枝豆 防虫ネット セット
ししとう,基本的には穏やかで控えめですが、時折見せる「当たり（激辛）」のパンチ力が凄まじい人です。普段は周囲に溶け込んでいますが、スイッチが入った時の爆発力は誰にも予想できません。小ぶりな体格に似合わず度胸があり、勝負どころで大番狂わせを起こす勝負師的な気質を持っています。予測不能な魅力で人を惹きつけます。,プロゲーマー,投資家,スタントマン,4.1,9.9,9.8,shishito,ピーマン同様に育てやすいですが、乾燥や肥料不足のストレスがかかると「激辛の実」が混じりやすくなります。こまめな水やりと追肥を絶やさないことが安定した味の秘訣。,ししとう 苗 豊作
